"","sample_id","genotype","block_number","replica_number","dev_stage","dev_group","leaf_number","leaf_zone","dag","tissue_designation","developmental_stage_dap","variable","value"
"23675","D13P25A","PT",3,2,7,">9",5,"Along",40,"PT_5_7",40,"TG_52_1_16_0_18_0_18_1",7998
"23676","D13B17A","B73",3,1,6,"4-6",7,"Along",40,"B73_7_6",40,"TG_52_1_16_0_18_0_18_1",4037
"23677","D13B27A","B73",3,2,6,"4-6",7,"Along",40,"B73_7_6",40,"TG_52_1_16_0_18_0_18_1",6461
"23678","D13C17A","CML312",3,1,8,"7-9",7,"Along",40,"CML312_7_8",40,"TG_52_1_16_0_18_0_18_1",4959
"23679","D13C27A","CML312",3,2,8,"7-9",7,"Along",40,"CML312_7_8",40,"TG_52_1_16_0_18_0_18_1",2240
"23680","D13P17A","PT",3,1,8,"7-9",7,"Along",40,"PT_7_8",40,"TG_52_1_16_0_18_0_18_1",7180
"23681","D13P27A","PT",3,2,7,">9",7,"Along",40,"PT_7_7",40,"TG_52_1_16_0_18_0_18_1",14869
"23682","D13C19A","CML312",3,1,8,"7-9",9,"Along",40,"CML312_9_8",40,"TG_52_1_16_0_18_0_18_1",4171
"23683","D13C29A","CML312",3,2,8,"7-9",9,"Along",40,"CML312_9_8",40,"TG_52_1_16_0_18_0_18_1",5292
"23684","D13P19A","PT",3,1,8,"7-9",9,"Along",40,"PT_9_8",40,"TG_52_1_16_0_18_0_18_1",2526
"23685","D13P29A","PT",3,2,7,">9",9,"Along",40,"PT_9_7",40,"TG_52_1_16_0_18_0_18_1",5376
"23686","D14B14A","B73",4,1,4,"4-6",4,"Along",27,"B73_4_4",28,"TG_52_1_16_0_18_0_18_1",2909
"23687","D14B24A","B73",4,2,4,"4-6",4,"Along",28,"B73_4_4",28,"TG_52_1_16_0_18_0_18_1",2741
"23688","D14P14A","PT",4,1,4,"4-6",4,"Along",28,"PT_4_4",28,"TG_52_1_16_0_18_0_18_1",2168
"23689","D14P24A","PT",4,2,5,"4-6",4,"Along",27,"PT_4_5",28,"TG_52_1_16_0_18_0_18_1",8956
"23690","D14C14A","CML312",4,1,5,"4-6",4,"Along",26,"CML312_4_5",28,"TG_52_1_16_0_18_0_18_1",6144
"23691","D14C24A","CML312",4,2,6,"4-6",4,"Along",26,"CML312_4_6",28,"TG_52_1_16_0_18_0_18_1",4757
"23692","D14B15A","B73",4,1,4,"4-6",5,"Along",27,"B73_5_4",28,"TG_52_1_16_0_18_0_18_1",2486
"23693","D14B25A","B73",4,2,4,"4-6",5,"Along",28,"B73_5_4",28,"TG_52_1_16_0_18_0_18_1",3850
"23694","D14C15A","CML312",4,1,5,"4-6",5,"Along",26,"CML312_5_5",28,"TG_52_1_16_0_18_0_18_1",1890
"23695","D14C25A","CML312",4,2,6,"4-6",5,"Along",26,"CML312_5_6",28,"TG_52_1_16_0_18_0_18_1",2425
"23696","D14P15A","PT",4,1,4,"4-6",5,"Along",28,"PT_5_4",28,"TG_52_1_16_0_18_0_18_1",1586
"23697","D14P25A","PT",4,2,5,"4-6",5,"Along",27,"PT_5_5",28,"TG_52_1_16_0_18_0_18_1",2747
"23698","D14P27A","PT",4,2,5,"4-6",7,"Along",27,"PT_7_5",28,"TG_52_1_16_0_18_0_18_1",4624
"23699","D14C17A","CML312",4,1,5,"4-6",7,"Along",26,"CML312_7_5",28,"TG_52_1_16_0_18_0_18_1",2703
"23700","D14C27A","CML312",4,2,6,"4-6",7,"Along",26,"CML312_7_6",28,"TG_52_1_16_0_18_0_18_1",2251
